Type,Bank,Country,Region,Year,AmountUSDMillions,Group,Sector,Client,ForestRiskClientRegion
Corporate loan,Banco do Brasil,Brazil,South America,2013,183.37,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2013,182.57,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Shareholding,Prudential (UK),United Kingdom,Europe other,2021,182.3,Top Glove,Rubber,Top Glove,Southeast Asia
Corporate loan,Standard Chartered,United Kingdom,Europe other,2013,180.72,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,180.72,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2015,180,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,179.42,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Shareholding,Employees Provident Fund,Malaysia,Southeast Asia,2021,179.27,United Plantations,Palm oil,United Plantations,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,178.91,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,178.73,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Santa Catarina,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2015,177.49,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Share issuance,Bank Negara Indonesia,Indonesia,Southeast Asia,2014,177.25,Rajawali Group,Palm oil,Eagle High Plantations,Southeast Asia
Share issuance,CIMB Group,Malaysia,Southeast Asia,2014,177.25,Rajawali Group,Palm oil,Eagle High Plantations,Southeast Asia
Share issuance,Credit Suisse,Switzerland,Europe other,2014,177.25,Rajawali Group,Palm oil,Eagle High Plantations,Southeast Asia
Share issuance,Danareksa Sekuritas,Indonesia,Southeast Asia,2014,177.25,Rajawali Group,Palm oil,Eagle High Plantations,Southeast Asia
Share issuance,Bank Mandiri,Indonesia,Southeast Asia,2014,177.25,Rajawali Group,Palm oil,Eagle High Plantations,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,176.8,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2017,175.98,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Rond™nia,Latin America
Shareholding,Ackermans & van Haaren,Belgium,EU27,2021,172.53,Sipef,Palm oil,Sipef,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,172.41,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2014,172.14,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,171.72,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Rond™nia,Latin America
Bond issuance,CIMB Group,Malaysia,Southeast Asia,2020,171.52,Top Glove,Rubber,TG Excellence,Southeast Asia
Corporate loan,BNDES,Brazil,South America,2013,171.28,Suzano,Pulp & paper,Suzano,Latin America
Bond issuance,Bank of America,United States,North America,2019,166.65,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,BNP Paribas,France,EU27,2019,166.65,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2019,166.65,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Mizuho Financial,Japan,East Asia,2019,166.65,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Rabobank,Netherlands,EU27,2019,166.65,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Scotiabank,Canada,North America,2019,166.65,Suzano,Pulp & paper,Suzano Austria,Latin America
Corporate loan,SMBC Group,Japan,East Asia,2014,166.27,Grupo Amaggi,Soy,Amaggi Expansion,Latin America
Corporate loan,SMBC Group,Japan,East Asia,2014,166.27,Grupo Amaggi,Soy,Amaggi Expansion,Latin America
Corporate loan,Banco da Amazonia,Brazil,South America,2019,165.06,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Pará,Latin America
Shareholding,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2021,165.05,Top Glove,Rubber,Top Glove,Southeast Asia
Corporate loan,Banco da Amazonia,Brazil,South America,2019,165.04,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Revolving credit facility,Mizuho Financial,Japan,East Asia,2018,165,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Mizuho Financial,Japan,East Asia,2019,165,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2019,165,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2019,165,Sinar Mas Group,Pulp & paper,Lontar Papyrus Pulp & Paper,Southeast Asia
Corporate loan,Mizuho Financial,Japan,East Asia,2016,165,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Mizuho Financial,Japan,East Asia,2015,165,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Revolving credit facility,Mizuho Financial,Japan,East Asia,2014,165,Sinar Mas Group,Pulp & paper,Pabrik Kertas Tjiwi Kimia,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2015,164.71,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2019,163.18,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,162.37,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2018,161.99,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,161.75,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2018,159.53,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,158.94,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Shareholding,VDQ Holdings,Brazil,South America,2021,158.61,Minerva,Beef,Minerva,Latin America
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2019,157.5,Salim Group,Palm oil,Salim Ivomas Pratama,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,157.07,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,155.96,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2018,155,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2018,155,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,153.8,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Shareholding,BlackRock,United States,North America,2021,153.63,Klabin,Pulp & paper,Klabin,Latin America
Shareholding,Public Bank,Malaysia,Southeast Asia,2021,153.31,Sime Darby,Palm oil,Sime Darby Plantations,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2016,150.75,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Bond issuance,China Development Bank,China,East Asia,2016,150.15,Sinar Mas Group,Pulp & paper,Ningbo Asia Pulp & Paper,Southeast Asia
Corporate loan,BNP Paribas,France,EU27,2015,150,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,HSBC,United Kingdom,Europe other,2015,150,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2015,150,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Crédit Agricole,France,EU27,2020,150,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Chailease Holding,Taiwan,East Asia,2014,150,Rajawali Group,Palm oil,Will Overseas,Southeast Asia
Corporate loan,Bank Rakyat Indonesia,Indonesia,Southeast Asia,2015,150,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Bond issuance,RHB Banking,Malaysia,Southeast Asia,2013,149.65,Sinar Mas Group,Palm oil,Golden Assets International,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2013,149.17,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sudeste - São Paulo,Latin America
Revolving credit facility,Bradesco,Brazil,South America,2013,148.5,Suzano,Pulp & paper,Fibria,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2017,148.15,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Bond issuance,Morgan Stanley,United States,North America,2013,147.89,Marfrig,Beef,Marfrig Global Foods,Latin America
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2014,147.84,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,AmBank Group,Malaysia,Southeast Asia,2014,147.84,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,RHB Banking,Malaysia,Southeast Asia,2014,147.84,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Public Bank,Malaysia,Southeast Asia,2014,147.84,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,147.39,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
Corporate loan,Bradesco,Brazil,South America,2017,147.2,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2019,146.86,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Rond™nia,Latin America
Corporate loan,BNDES,Brazil,South America,2015,144.13,CMPC,Pulp & paper,CMPC Celulose Riograndense,Latin America
Corporate loan,CIMB Group,Malaysia,Southeast Asia,2019,144.13,Johor Group,Palm oil,Mahamurni Plantations,Southeast Asia
Corporate loan,RHB Banking,Malaysia,Southeast Asia,2019,144.13,Johor Group,Palm oil,Mahamurni Plantations,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2017,143.8,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Corporate loan,The Inter-American Development Bank,United States,North America,2015,143.45,Klabin,Pulp & paper,Klabin,Latin America
Bond issuance,Bradesco,Brazil,South America,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Bank of America,United States,North America,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,BNP Paribas,France,EU27,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Mizuho Financial,Japan,East Asia,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Scotiabank,Canada,North America,2019,142.86,Suzano,Pulp & paper,Suzano Austria,Latin America
Corporate loan,Bradesco,Brazil,South America,2019,142.39,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - Goiás,Latin America
Corporate loan,Oversea-Chinese Banking Corporation,Singapore,Southeast Asia,2015,142.19,Prosper Group,Palm oil,Tagar Properties,Southeast Asia
Bond issuance,Mitsubishi UFJ Financial,Japan,East Asia,2019,141.74,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,BPCE Group,France,EU27,2019,141.74,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Rabobank,Netherlands,EU27,2019,141.74,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,Scotiabank,Canada,North America,2019,141.74,Suzano,Pulp & paper,Suzano Austria,Latin America
Bond issuance,SMBC Group,Japan,East Asia,2019,141.74,Suzano,Pulp & paper,Suzano Austria,Latin America
Share issuance,JPMorgan Chase,United States,North America,2019,141.34,Batu Kawan Group,Palm oil,Kuala Lumpur Kepong,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2015,140.93,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Sul - Rio Grande do Sul,Latin America
Corporate loan,Bank Negara Indonesia,Indonesia,Southeast Asia,2015,140,Sinar Mas Group,Pulp & paper,Indah Kiat Pulp & Paper,Southeast Asia
Corporate loan,Bank Mandiri,Indonesia,Southeast Asia,2016,139.66,Perkebunan Nusantara Group,Palm oil,Perkebunan Nusantara XIII,Southeast Asia
Bond issuance,Bank of America,United States,North America,2017,138.56,Suzano,Pulp & paper,Fibria Overseas Finance,Latin America
Bond issuance,BNP Paribas,France,EU27,2017,138.56,Suzano,Pulp & paper,Fibria Overseas Finance,Latin America
Bond issuance,Citigroup,United States,North America,2017,138.56,Suzano,Pulp & paper,Fibria Overseas Finance,Latin America
Bond issuance,HSBC,United Kingdom,Europe other,2017,138.56,Suzano,Pulp & paper,Fibria Overseas Finance,Latin America
Bond issuance,JPMorgan Chase,United States,North America,2017,138.56,Suzano,Pulp & paper,Fibria Overseas Finance,Latin America
Corporate loan,Standard Chartered,United Kingdom,Europe other,2013,138.06,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Malayan Banking,Malaysia,Southeast Asia,2013,138.06,Albukhary Group ,Palm oil,Perspective Lane,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,138,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sudeste - Minas Gerais,Latin America
Bond issuance,Hong Leong Group,Malaysia,Southeast Asia,2020,137.82,Top Glove,Rubber,TG Excellence,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2019,136.82,Brazil Agriculture Finance Program,Soy,Brazil Agriculture Finance Program - Sul - Paraná,Latin America
Corporate loan,Banco do Brasil,Brazil,South America,2016,136.76,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Tocantins,Latin America
Shareholding,Annhow Holdings,Malaysia,Southeast Asia,2021,136.54,IOI Group,Palm oil,IOI Corporation,Southeast Asia
Corporate loan,BNDES,Brazil,South America,2016,135.65,Suzano,Pulp & paper,Suzano,Latin America
Bond issuance,Itaú Unibanco,Brazil,South America,2019,135.06,Suzano,Pulp & paper,Suzano,Latin America
Corporate loan,Bank Pan Indonesia,Indonesia,Southeast Asia,2014,135,Sinar Mas Group,Palm oil,Sinar Mas Agro Resources & Technology,Southeast Asia
Corporate loan,Banco do Brasil,Brazil,South America,2018,135,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Norte - Pará,Latin America
Corporate loan,Rabobank,Netherlands,EU27,2018,134.92,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Centro-Oeste - MatoGrosso,Latin America
Shareholding,Vanguard,United States,North America,2021,134.09,Archer Daniels Midland,Palm oil,Archer Daniels Midland,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2018,133.57,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Bahia,Latin America
Bond issuance,Bank of Communications,China,East Asia,2014,133.5,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Bond issuance,Industrial and Commercial Bank of China,China,East Asia,2014,133.5,Sinar Mas Group,Pulp & paper,Sinar Mas Paper China,Southeast Asia
Corporate loan,Mizuho Financial,Japan,East Asia,2019,132.73,Salim Group,Palm oil,Indofood Sukses Makmur,Southeast Asia
Corporate loan,Banco do Nordeste do Brasil,Brazil,South America,2018,132.47,Brazil Agriculture Finance Program,Beef,Brazil Agriculture Finance Program - Nordeste - Maranhão,Latin America
